anio_mes,SOURCES,ID_ANIME,Acumulado
2009-03-01,Manga,2.0,284.0
2009-03-01,Music,1.0,8.0
2009-03-01,Novel,0.0,26.0
2009-03-01,Original,6.0,195.0
2009-03-01,Other,0.0,19.0
2009-03-01,Picture book,0.0,6.0
2009-03-01,Radio,0.0,0.0
2009-03-01,Unknown,12.0,371.0
2009-03-01,Visual novel,3.0,109.0
2009-03-01,Web manga,0.0,2.0
2009-04-01,4-koma manga,1.0,50.0
2009-04-01,Book,0.0,7.0
2009-04-01,Card game,0.0,2.0
2009-04-01,Digital manga,0.0,0.0
2009-04-01,Game,5.0,47.0
2009-04-01,Light novel,4.0,51.0
2009-04-01,Manga,22.0,306.0
2009-04-01,Music,1.0,9.0
2009-04-01,Novel,3.0,29.0
2009-04-01,Original,14.0,209.0
